"Time","debug","error","info","warn"
2026-01-06 03:51:00,10.1 K,,552,
2026-01-06 03:52:00,8.39 K,,445,
2026-01-06 03:53:00,8.95 K,,518,
2026-01-06 03:54:00,9.78 K,,493,
2026-01-06 03:55:00,8.46 K,,449,
2026-01-06 03:56:00,9.65 K,,472,
2026-01-06 03:57:00,8.72 K,,465,
2026-01-06 03:58:00,9.19 K,,518,
2026-01-06 03:59:00,7.90 K,,469,
2026-01-06 04:00:00,5.09 K,,240,
2026-01-06 04:01:00,7.92 K,,567,
2026-01-06 04:02:00,8.61 K,,526,
2026-01-06 04:03:00,9.19 K,,544,
2026-01-06 04:04:00,9.22 K,,521,
2026-01-06 04:05:00,9.41 K,,596,
2026-01-06 04:06:00,10.3 K,,561,
2026-01-06 04:07:00,9.09 K,,551,
2026-01-06 04:08:00,9.63 K,,551,
2026-01-06 04:09:00,9.81 K,,573,
