"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""wav2vec2_4ba6b0ef""}[4m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""wav2vec2_4ba6b0ef""}[4m0s])
)  * 8 "
2026-01-11 08:52:00,244 Mb/s
2026-01-11 08:53:00,245 Mb/s
2026-01-11 08:54:00,240 Mb/s
2026-01-11 08:55:00,226 Mb/s
2026-01-11 08:56:00,207 Mb/s
2026-01-11 08:57:00,240 Mb/s
2026-01-11 08:58:00,277 Mb/s
2026-01-11 08:59:00,281 Mb/s
2026-01-11 09:00:00,234 Mb/s
2026-01-11 09:01:00,191 Mb/s
2026-01-11 09:02:00,194 Mb/s
2026-01-11 09:03:00,210 Mb/s
2026-01-11 09:04:00,253 Mb/s
2026-01-11 09:05:00,261 Mb/s
2026-01-11 09:06:00,267 Mb/s
2026-01-11 09:07:00,243 Mb/s
2026-01-11 09:08:00,258 Mb/s
2026-01-11 09:09:00,266 Mb/s
2026-01-11 09:10:00,253 Mb/s
2026-01-11 09:11:00,227 Mb/s
2026-01-11 09:12:00,216 Mb/s
2026-01-11 09:13:00,220 Mb/s
2026-01-11 09:14:00,223 Mb/s
2026-01-11 09:15:00,238 Mb/s
2026-01-11 09:16:00,255 Mb/s
2026-01-11 09:17:00,236 Mb/s
2026-01-11 09:18:00,208 Mb/s
2026-01-11 09:19:00,207 Mb/s
2026-01-11 09:20:00,224 Mb/s
2026-01-11 09:21:00,260 Mb/s
2026-01-11 09:22:00,257 Mb/s
2026-01-11 09:23:00,257 Mb/s
2026-01-11 09:24:00,251 Mb/s
2026-01-11 09:25:00,246 Mb/s
2026-01-11 09:26:00,267 Mb/s
2026-01-11 09:27:00,246 Mb/s
2026-01-11 09:28:00,256 Mb/s
2026-01-11 09:29:00,269 Mb/s
2026-01-11 09:30:00,268 Mb/s
2026-01-11 09:31:00,255 Mb/s
2026-01-11 09:32:00,246 Mb/s
2026-01-11 09:33:00,256 Mb/s
2026-01-11 09:34:00,252 Mb/s
2026-01-11 09:35:00,237 Mb/s
2026-01-11 09:36:00,262 Mb/s
2026-01-11 09:37:00,271 Mb/s
2026-01-11 09:38:00,276 Mb/s
2026-01-11 09:39:00,252 Mb/s
2026-01-11 09:40:00,215 Mb/s
2026-01-11 09:41:00,221 Mb/s
2026-01-11 09:42:00,241 Mb/s
2026-01-11 09:43:00,299 Mb/s
2026-01-11 09:44:00,305 Mb/s
2026-01-11 09:45:00,290 Mb/s
2026-01-11 09:46:00,270 Mb/s
2026-01-11 09:47:00,266 Mb/s
2026-01-11 09:48:00,252 Mb/s
2026-01-11 09:49:00,271 Mb/s
2026-01-11 09:50:00,255 Mb/s
2026-01-11 09:51:00,241 Mb/s
2026-01-11 09:52:00,223 Mb/s
2026-01-11 09:53:00,216 Mb/s
2026-01-11 09:54:00,232 Mb/s
2026-01-11 09:55:00,250 Mb/s
2026-01-11 09:56:00,269 Mb/s
2026-01-11 09:57:00,257 Mb/s
2026-01-11 09:58:00,243 Mb/s
2026-01-11 09:59:00,215 Mb/s
2026-01-11 10:00:00,226 Mb/s
2026-01-11 10:01:00,230 Mb/s
2026-01-11 10:02:00,248 Mb/s
2026-01-11 10:03:00,243 Mb/s
2026-01-11 10:04:00,227 Mb/s
2026-01-11 10:05:00,214 Mb/s
2026-01-11 10:06:00,223 Mb/s
2026-01-11 10:07:00,225 Mb/s
2026-01-11 10:08:00,247 Mb/s
2026-01-11 10:09:00,243 Mb/s
2026-01-11 10:10:00,235 Mb/s
2026-01-11 10:11:00,222 Mb/s
2026-01-11 10:12:00,212 Mb/s
2026-01-11 10:13:00,210 Mb/s
2026-01-11 10:14:00,240 Mb/s
2026-01-11 10:15:00,212 Mb/s
2026-01-11 10:16:00,236 Mb/s
2026-01-11 10:17:00,210 Mb/s
2026-01-11 10:18:00,249 Mb/s
2026-01-11 10:19:00,229 Mb/s
2026-01-11 10:20:00,225 Mb/s
2026-01-11 10:21:00,250 Mb/s
2026-01-11 10:22:00,250 Mb/s
2026-01-11 10:23:00,251 Mb/s
2026-01-11 10:24:00,224 Mb/s
2026-01-11 10:25:00,254 Mb/s
2026-01-11 10:26:00,272 Mb/s
2026-01-11 10:27:00,279 Mb/s
2026-01-11 10:28:00,261 Mb/s
2026-01-11 10:29:00,259 Mb/s
2026-01-11 10:30:00,269 Mb/s
2026-01-11 10:31:00,250 Mb/s
2026-01-11 10:32:00,239 Mb/s
2026-01-11 10:33:00,234 Mb/s
2026-01-11 10:34:00,256 Mb/s
2026-01-11 10:35:00,244 Mb/s
2026-01-11 10:36:00,233 Mb/s
