"Time","gateway1","scheduler","worker1","worker3","worker4","worker6"
2026-01-03 21:45:00,5.11 kb/s,22.0 kb/s,50.1 Mb/s,152 Mb/s,119 Mb/s,50.1 Mb/s
2026-01-03 21:50:00,4.40 kb/s,22.1 kb/s,97.3 Mb/s,143 Mb/s,139 Mb/s,47.7 Mb/s
2026-01-03 21:55:00,4.40 kb/s,18.6 kb/s,105 Mb/s,314 Mb/s,103 Mb/s,105 Mb/s
2026-01-03 22:00:00,4.98 kb/s,18.6 kb/s,107 Mb/s,321 Mb/s,109 Mb/s,107 Mb/s
2026-01-03 22:05:00,4.90 kb/s,18.7 kb/s,110 Mb/s,329 Mb/s,108 Mb/s,110 Mb/s
2026-01-03 22:10:00,4.80 kb/s,19.6 kb/s,73.9 Mb/s,223 Mb/s,129 Mb/s,73.9 Mb/s
2026-01-03 22:15:00,4.48 kb/s,19.8 kb/s,90.6 Mb/s,275 Mb/s,126 Mb/s,110 Mb/s
2026-01-03 22:20:00,5.09 kb/s,18.3 kb/s,112 Mb/s,333 Mb/s,112 Mb/s,110 Mb/s
2026-01-03 22:25:00,4.88 kb/s,18.9 kb/s,109 Mb/s,324 Mb/s,107 Mb/s,109 Mb/s
2026-01-03 22:30:00,5.02 kb/s,18.7 kb/s,107 Mb/s,321 Mb/s,113 Mb/s,107 Mb/s
2026-01-03 22:35:00,4.30 kb/s,21.4 kb/s,63.7 Mb/s,192 Mb/s,120 Mb/s,69.5 Mb/s
2026-01-03 22:40:00,4.53 kb/s,18.4 kb/s,103 Mb/s,309 Mb/s,105 Mb/s,105 Mb/s
2026-01-03 22:45:00,5.01 kb/s,18.5 kb/s,107 Mb/s,320 Mb/s,105 Mb/s,105 Mb/s
2026-01-03 22:50:00,4.52 kb/s,18.8 kb/s,105 Mb/s,315 Mb/s,107 Mb/s,105 Mb/s
2026-01-03 22:55:00,4.87 kb/s,18.1 kb/s,114 Mb/s,328 Mb/s,107 Mb/s,119 Mb/s
2026-01-03 23:00:00,5.10 kb/s,18.7 kb/s,107 Mb/s,321 Mb/s,110 Mb/s,107 Mb/s
2026-01-03 23:05:00,4.86 kb/s,19.0 kb/s,107 Mb/s,324 Mb/s,105 Mb/s,107 Mb/s
