"Time","sum (
  rate(hypha_bandwidth_inbound_bytes_total{service_namespace=""resnet_americas_03e4b61""}[6m0s])
+ rate(hypha_bandwidth_outbound_bytes_total{service_namespace=""resnet_americas_03e4b61""}[6m0s])
)  * 8 "
2026-01-05 11:30:00,627 Mb/s
2026-01-05 11:35:00,630 Mb/s
2026-01-05 11:40:00,643 Mb/s
2026-01-05 11:45:00,642 Mb/s
2026-01-05 11:50:00,632 Mb/s
2026-01-05 11:55:00,623 Mb/s
2026-01-05 12:00:00,633 Mb/s
2026-01-05 12:05:00,631 Mb/s
2026-01-05 12:10:00,616 Mb/s
2026-01-05 12:15:00,623 Mb/s
2026-01-05 12:20:00,632 Mb/s
2026-01-05 12:25:00,595 Mb/s
2026-01-05 12:30:00,633 Mb/s
2026-01-05 12:35:00,647 Mb/s
2026-01-05 12:40:00,632 Mb/s
2026-01-05 12:45:00,606 Mb/s
2026-01-05 12:50:00,619 Mb/s
2026-01-05 12:55:00,634 Mb/s
2026-01-05 13:00:00,629 Mb/s
2026-01-05 13:05:00,629 Mb/s
2026-01-05 13:10:00,653 Mb/s
2026-01-05 13:15:00,640 Mb/s
2026-01-05 13:20:00,646 Mb/s
2026-01-05 13:25:00,636 Mb/s
2026-01-05 13:30:00,615 Mb/s
2026-01-05 13:35:00,615 Mb/s
2026-01-05 13:40:00,643 Mb/s
2026-01-05 13:45:00,628 Mb/s
2026-01-05 13:50:00,637 Mb/s
2026-01-05 13:55:00,628 Mb/s
2026-01-05 14:00:00,607 Mb/s
2026-01-05 14:05:00,647 Mb/s
2026-01-05 14:10:00,640 Mb/s
2026-01-05 14:15:00,633 Mb/s
2026-01-05 14:20:00,615 Mb/s
2026-01-05 14:25:00,627 Mb/s
2026-01-05 14:30:00,610 Mb/s
2026-01-05 14:35:00,622 Mb/s
2026-01-05 14:40:00,629 Mb/s
2026-01-05 14:45:00,634 Mb/s
2026-01-05 14:50:00,637 Mb/s
2026-01-05 14:55:00,617 Mb/s
2026-01-05 15:00:00,641 Mb/s
2026-01-05 15:05:00,646 Mb/s
2026-01-05 15:10:00,644 Mb/s
2026-01-05 15:15:00,641 Mb/s
2026-01-05 15:20:00,616 Mb/s
2026-01-05 15:25:00,642 Mb/s
2026-01-05 15:30:00,639 Mb/s
2026-01-05 15:35:00,652 Mb/s
2026-01-05 15:40:00,626 Mb/s
2026-01-05 15:45:00,632 Mb/s
2026-01-05 15:50:00,629 Mb/s
2026-01-05 15:55:00,640 Mb/s
2026-01-05 16:00:00,648 Mb/s
2026-01-05 16:05:00,666 Mb/s
2026-01-05 16:10:00,640 Mb/s
2026-01-05 16:15:00,663 Mb/s
2026-01-05 16:20:00,634 Mb/s
2026-01-05 16:25:00,626 Mb/s
2026-01-05 16:30:00,643 Mb/s
2026-01-05 16:35:00,634 Mb/s
2026-01-05 16:40:00,640 Mb/s
2026-01-05 16:45:00,678 Mb/s
2026-01-05 16:50:00,643 Mb/s
2026-01-05 16:55:00,634 Mb/s
2026-01-05 17:00:00,631 Mb/s
2026-01-05 17:05:00,611 Mb/s
2026-01-05 17:10:00,634 Mb/s
2026-01-05 17:15:00,629 Mb/s
2026-01-05 17:20:00,617 Mb/s
2026-01-05 17:25:00,649 Mb/s
2026-01-05 17:30:00,622 Mb/s
2026-01-05 17:35:00,649 Mb/s
2026-01-05 17:40:00,641 Mb/s
2026-01-05 17:45:00,625 Mb/s
2026-01-05 17:50:00,601 Mb/s
2026-01-05 17:55:00,609 Mb/s
2026-01-05 18:00:00,106 Mb/s
