step,timestamp,peer_id,data_points,duration,loss,round,steps
49,1768088728243,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,55.916077,49,21.460733
50,1768088740923,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,500,12.680574,2.8798194,50,39.43039
50,1768088749331,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,21.08838,2.8598063,50,37.93558
50,1768088757197,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1300,28.954079,50,44.89868
51,1768088765023,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,7.825597,2.9134533,51,51.11431
51,1768088836588,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,79.39062,2.8734782,51,10.076757
51,1768088844270,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,87.072975,51,13.781544
52,1768088853454,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,500,9.183712,2.9046395,52,54.444218
52,1768088876530,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,32.26019,2.8718934,52,24.798367
52,1768088884461,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1300,40.191147,52,32.345432
53,1768088895379,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,10.91786,2.8669136,53,36.637215
53,1768088910958,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,26.496529,2.869363,53,30.192635
53,1768088919187,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,34.7255,53,34.55674
54,1768088929155,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,9.967981,2.8839734,54,40.128487
54,1768088956803,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,37.616104,2.8707252,54,21.267487
54,1768088964768,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,45.580902,54,26.326815
55,1768088977594,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,12.825834,2.8854225,55,31.187056
55,1768089020158,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,55.39065,2.8879714,55,14.44287
55,1768089028645,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,63.877598,55,18.785929
56,1768089036562,12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr,400,7.916575,2.8880172,56,50.5269
56,1768089082827,12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR,800,54.18134,2.8659623,56,14.765231
56,1768089090638,12D3KooWLVzxJpWyXkkf2LQQyLKNcdNd8nhZ3FwwLsa3diSGC4WB,1200,61.993153,56,19.356977
