"Time","gateway1","scheduler","worker1","worker2","worker3","worker4"
2026-01-07 19:40:00,2.59 kb/s,9.11 kb/s,52.9 Mb/s,52.6 Mb/s,148 Mb/s,40.7 Mb/s
2026-01-07 20:00:00,2.59 kb/s,8.98 kb/s,38.7 Mb/s,39.2 Mb/s,115 Mb/s,38.9 Mb/s
2026-01-07 20:20:00,2.59 kb/s,9.21 kb/s,39.4 Mb/s,39.4 Mb/s,131 Mb/s,46.8 Mb/s
2026-01-07 20:40:00,2.59 kb/s,8.88 kb/s,38.0 Mb/s,39.5 Mb/s,117 Mb/s,42.4 Mb/s
2026-01-07 21:00:00,2.59 kb/s,10.0 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,39.0 Mb/s
2026-01-07 21:20:00,2.59 kb/s,9.41 kb/s,38.2 Mb/s,39.4 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 21:40:00,2.59 kb/s,8.85 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 22:00:00,2.58 kb/s,9.37 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-07 22:20:00,2.59 kb/s,8.86 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 22:40:00,2.58 kb/s,9.34 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-07 23:00:00,2.59 kb/s,9.74 kb/s,38.0 Mb/s,39.4 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-07 23:20:00,2.58 kb/s,9.24 kb/s,57.1 Mb/s,58.3 Mb/s,147 Mb/s,47.8 Mb/s
2026-01-07 23:40:00,2.59 kb/s,9.61 kb/s,38.0 Mb/s,39.4 Mb/s,133 Mb/s,47.8 Mb/s
2026-01-08 00:00:00,2.59 kb/s,8.87 kb/s,53.6 Mb/s,58.3 Mb/s,153 Mb/s,50.2 Mb/s
2026-01-08 00:20:00,2.60 kb/s,10.0 kb/s,41.5 Mb/s,39.4 Mb/s,134 Mb/s,45.4 Mb/s
2026-01-08 00:40:00,2.60 kb/s,9.81 kb/s,38.0 Mb/s,39.6 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 01:00:00,2.58 kb/s,9.02 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 01:20:00,2.59 kb/s,9.03 kb/s,38.0 Mb/s,39.7 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 01:40:00,2.58 kb/s,9.12 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 02:00:00,2.59 kb/s,8.96 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 02:20:00,2.59 kb/s,8.81 kb/s,63.8 Mb/s,70.1 Mb/s,162 Mb/s,44.1 Mb/s
2026-01-08 02:40:00,2.61 kb/s,9.43 kb/s,50.2 Mb/s,46.5 Mb/s,155 Mb/s,44.5 Mb/s
2026-01-08 03:00:00,2.59 kb/s,9.52 kb/s,38.0 Mb/s,39.5 Mb/s,118 Mb/s,45.5 Mb/s
2026-01-08 03:20:00,2.59 kb/s,8.99 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 03:40:00,2.59 kb/s,9.00 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 04:00:00,2.58 kb/s,9.21 kb/s,38.2 Mb/s,39.7 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 04:20:00,2.59 kb/s,9.18 kb/s,38.0 Mb/s,39.4 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 04:40:00,2.58 kb/s,9.28 kb/s,38.2 Mb/s,39.7 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 05:00:00,2.59 kb/s,9.84 kb/s,56.9 Mb/s,58.3 Mb/s,165 Mb/s,57.3 Mb/s
2026-01-08 05:20:00,2.60 kb/s,9.11 kb/s,57.1 Mb/s,58.1 Mb/s,166 Mb/s,47.4 Mb/s
2026-01-08 05:40:00,2.59 kb/s,9.12 kb/s,38.0 Mb/s,39.5 Mb/s,123 Mb/s,46.5 Mb/s
2026-01-08 06:00:00,2.59 kb/s,9.68 kb/s,38.0 Mb/s,39.4 Mb/s,113 Mb/s,40.0 Mb/s
2026-01-08 06:20:00,2.58 kb/s,8.90 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 06:40:00,2.59 kb/s,9.22 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 07:00:00,2.58 kb/s,9.18 kb/s,38.2 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
2026-01-08 07:20:00,2.59 kb/s,9.02 kb/s,38.2 Mb/s,39.7 Mb/s,113 Mb/s,38.5 Mb/s
2026-01-08 07:40:00,2.58 kb/s,9.30 kb/s,38.0 Mb/s,39.5 Mb/s,113 Mb/s,38.3 Mb/s
