"Time","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr","12D3KooWB9JZvpsU7u1Mxf1STyC9TYnYe4BjtKfSkPsXUvwBsHGR","12D3KooWJwrPRX5GsoBV9HdHr7oXawBK5tgCFXkiu4L1dWyh9c4G","12D3KooWRXmTacGaSyUZEGJJuSDPvWr1JQBRCf3zsWRVHTJkjsBr"
2026-01-09 21:40:00,,,,,,,,6.12,6.02,6.11
2026-01-09 22:00:00,,,,,,,,6.11,6.01,6.14
2026-01-09 22:20:00,,,,,,,,6.12,6.03,6.07
2026-01-09 22:40:00,,,,,,,,6.18,6.11,6.09
2026-01-09 23:00:00,,,,,,,,6.14,6.12,6.13
2026-01-09 23:20:00,,,,,,,,6.24,5.96,6.11
2026-01-09 23:40:00,,,,,,,,6.15,6.07,6.06
2026-01-10 00:00:00,,,,,,,,6.04,5.97,6.09
2026-01-10 00:20:00,,,,,,,,6.14,6.08,6.18
2026-01-10 00:40:00,,,,,,,,6.15,6.05,6.06
2026-01-10 01:00:00,,,,,,,,6.06,6.20,6.16
2026-01-10 01:20:00,,,,,,,,6.07,6.07,6.11
2026-01-10 01:40:00,,,,,,,,6.04,6.23,6.08
2026-01-10 02:00:00,,,,,,,,6.21,6.04,6.07
2026-01-10 02:20:00,,,,,,,,6.08,6.02,6.08
2026-01-10 02:40:00,,,,,,,,6.14,6.02,6.05
2026-01-10 03:00:00,,,,,,,,6.15,6.28,6.12
2026-01-10 03:20:00,,,,,,,,6.23,6.10,6.12
2026-01-10 03:40:00,,,,,,,,6.07,6.20,6.04
